variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-2.05604613360875,-1.7663250000000001,4.406998695317031,4.352846883000001,-9.8095975,4.747795499999998,1.0053119598395113,985.9137432333416,1497.8272980001889
theta[1],1.101993258,1.098525,0.21520061959565323,0.21337356810000008,0.75376745,1.4674485,1.0008300941851223,4723.247073155258,3083.4333703607326
theta[2],0.7865037207445,0.791651,0.3017950244972646,0.2937846029999999,0.27367664999999997,1.274049,1.0012752484810012,6486.073607342992,3011.9070862101767
theta[3],1.0698255301750002,1.05692,0.2725658644341225,0.26814229470000017,0.64043935,1.528584,1.00072214427327,4621.757625026152,2781.5477431395057
theta[4],1.24472927745,1.219535,0.38636920578718414,0.3722734470000001,0.64929015,1.9114464999999996,1.000929249689099,3648.1675003645796,2790.4797481743994
theta[5],1.00376102525,1.00065,0.20909480423581697,0.21008516130000007,0.6621884499999999,1.3480360000000002,1.0026777080215328,5249.700157248257,2991.760935763068
theta[6],1.0357556243500001,1.0240900000000002,0.3245704313310926,0.31984945230000034,0.5241531500000001,1.5980849999999998,1.0014381419672957,5188.275103622265,2945.915171343774
theta[7],0.745339918425,0.7492015000000001,0.187743327392824,0.18331459439999995,0.42954934999999994,1.045891,1.0005199389301862,5790.417476353321,2434.474518469423
theta[8],0.7313358853575,0.7390005,0.3341893504352119,0.32444921879999994,0.18450565,1.260707,1.0025451149741866,5731.4428978667665,2768.1209247684046
theta[9],0.784188004845,0.7876425,0.247087865689975,0.24506859090000008,0.37399495,1.182811,1.002428556013608,4514.038642178802,2897.9523129121912
theta[10],0.756733971615,0.7589839999999999,0.2379568264871052,0.2296117446000001,0.36943085000000003,1.1351324999999997,1.0016785464372844,5596.834420878433,3106.037771436351
theta[11],0.9908622352750001,0.981244,0.24204017763586635,0.23613592590000007,0.5992061,1.3914954999999996,1.0014919606290624,5521.910658567407,3165.2110756731663
theta[12],0.6334929253475,0.647845,0.3179389997434108,0.3036209127,0.07311600000000001,1.1279944999999996,1.0029456830050356,5402.7825770957315,2815.703566248336
theta[13],0.5386935729975,0.541536,0.17659395021518642,0.17581486229999996,0.23941459999999998,0.8257822499999999,1.0009213426685326,4896.864558238027,3224.0494312485416
theta[14],1.3893610327500001,1.37467,0.29447320007732247,0.2950670520000001,0.9260577,1.8852785,1.0014890742772393,2709.471214922503,2193.0292773797037
theta[15],1.2012569987500001,1.188475,0.2823401082213939,0.28219215359999983,0.7636933499999999,1.6691344999999997,1.0027033343556238,3579.897790145312,2965.1391382474635
theta[16],0.357880111578,0.360534,0.1765938867502913,0.17021137559999996,0.057223155,0.6415167499999999,1.00051914747694,3591.5355817383856,2923.1051362453913
theta[17],0.9933740585175,0.981457,0.3906093569959941,0.3683267658,0.37924220000000003,1.6647425,1.0010212938971004,5314.5550942501095,2976.2766284233803
theta[18],1.2038373325,1.19812,0.2695100349109566,0.26955150600000005,0.7731965,1.6684995,1.0010192081076812,3977.0414322615566,2544.945424329933
theta[19],1.1578184180000002,1.1461700000000001,0.2686591449067065,0.25845869280000006,0.72617815,1.635207,1.0015699912679372,4029.3762026315812,3249.141905677784
theta[20],0.41893542247275,0.4202125,0.22441021787459967,0.22460352179999998,0.04552061,0.7782951499999999,1.0004190678627891,3471.3612444738783,2975.1934602540287
theta[21],0.5615989531975,0.5720339999999999,0.29006453340267324,0.28851173609999997,0.070512745,1.0100259999999999,0.9996572117133171,4879.909494852087,2783.915935435858
mu,0.890219002,0.8883829999999999,0.12066931248947341,0.1140171291000001,0.6959157,1.0914869999999999,1.0002328956433315,3749.0781127448968,3118.244623237778
tau,0.41268089399999996,0.40143999999999996,0.1164042126654286,0.10951669679999994,0.2399115,0.6264713999999999,1.0052836726286924,1140.9063243040196,991.5520773499611
y_new,0.8833914931705,0.8809500000000001,0.4479274462605753,0.4145016015000001,0.17137985000000003,1.6250740000000001,1.000889594097315,3896.8844149318506,3596.8755495892683
