variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi[10],0.76149785456025,0.762583,0.32815513686941467,0.31311844829999996,0.2264023,1.303043,1.0005748613722318,2186.232175511208,2677.4879246706523
phi[11],1.120639218295,1.1201250000000003,0.3300954800210037,0.32592737099999963,0.58883715,1.661468,1.000735359674283,2190.0200783998503,2688.627116847253
phi[12],0.465223015899,0.468535,0.35506611845978764,0.3524325525,-0.11800384999999994,1.043633,1.001179910217465,2420.333938320266,3012.256810794546
phi[13],0.518572701778475,0.5203735,0.32286942206439867,0.3184735995000001,-0.007720440499999981,1.046342,1.0004887430244438,2132.448738624828,2676.4924342559325
phi[14],1.4353863418925001,1.4374850000000001,0.3965841702482288,0.38408976900000014,0.80027025,2.080217,1.0011015818468636,2541.2066989526834,2429.0305254879227
phi[15],1.1229039040375,1.12494,0.39752745569362585,0.39473706090000016,0.47069595,1.7770555,1.0012734848743108,2440.1129240359624,2107.6048051397925
phi[16],-0.0888174950354,-0.0798682,0.3892474646235574,0.38347478652,-0.72972135,0.5352986,1.000781472226848,2476.632160541879,2189.678505133048
phi[17],0.92958263576,0.9268865,0.48485980517196514,0.48216820680000017,0.15775139999999999,1.7225784999999998,1.0007290668843227,3155.46059674924,2962.192864137677
phi[18],1.4123540475,1.4140900000000003,0.11248365962491337,0.11202525599999993,1.2228775,1.5958290000000002,0.9999273615889904,4304.4797295942,3347.7774558211395
phi[19],1.34401842825,1.3441850000000002,0.114428177924966,0.11552419199999998,1.1568509999999999,1.5293405,1.0009715799396013,4769.596206961892,3344.7444904629115
phi[20],0.234366110375,0.2344755,0.06023702479890413,0.06113723489999997,0.13444754999999997,0.33217019999999997,0.9999538508665549,4296.139043633554,2768.237025478698
phi[21],0.31056415351825,0.31311449999999996,0.14320954854205958,0.14244301889999997,0.07800458,0.5434702499999998,1.0005540658247558,4817.4314692689795,2730.13522383248
phi_new[1],1.21384184284625,1.2172550000000002,0.6159661953620135,0.5854268489999999,0.17710040000000002,2.204755,1.0000200818736573,3691.652612336517,3946.9579392999035
phi_new[2],0.76289865224175,0.760159,0.57315690246225,0.548221002,-0.16607579999999997,1.6932945,1.0001629660251905,3718.4330465595585,3413.208305390164
phi_new[3],1.164554061615,1.16321,0.6166375944062215,0.5920021800000002,0.15080915,2.149169,1.000426559637602,3588.552322868824,3792.902461640763
phi_new[4],0.8101114482335,0.8053604999999999,0.6038030059990547,0.5609409687,-0.186668,1.7957519999999996,1.0001017283834348,3175.9396687000094,3708.5703157239877
