K,median,q2.75,q97.5
1,1.1976850000000001,0.013589185999999998,2.36608325
2,0.7748295,-0.3198998725,1.8541460000000003
3,1.137095,-0.08077986850000002,2.3107502500000003
4,0.8240155,-0.35034990499999996,1.9880945
